gene	GSM590166	GSM590167	GSM590168	GSM590169	GSM590170	GSM590171
LOR	4.91612	4.93412	4.95595	4.97065	5.06226	4.69902
AKR1C1	3.96986	3.903	3.88193	3.9697	4.04295	4.04104
SCNN1A	5.23207	5.30334	5.1135	4.92048	5.14081	4.94638
DPP6	4.92128	4.60524	4.52988	4.51395	4.75448	4.52463
AREG	3.21511	3.26718	3.20849	3.35788	3.08581	3.3064
ARHGEF4	4.2842	4.41929	4.21089	4.34352	4.49812	4.20366
THBD	3.8188	4.13367	3.76474	3.91193	3.97997	3.93168
DSC3	4.89137	4.95331	5.03898	4.69356	4.78001	4.94154
PCSK2	3.94041	3.78546	3.7533	3.72072	3.67196	3.65372
SERPINB3	4.0084	4.01191	4.01191	4.04465	4.05821	4.17142
PTGS1	5.34461	5.23716	4.95795	5.27958	5.28301	5.27069
HOPX	3.68316	3.88897	3.85301	3.64097	3.6585	3.69018
GSTT1	9.87451	9.92426	9.91924	9.63805	9.63364	9.7242
KRT17	4.65337	4.46899	4.37376	4.85268	4.93258	4.83846
LAD1	5.60901	5.6247	5.76378	5.41975	5.59775	5.5584
S100A7	4.08635	4.29	4.10275	3.74906	4.15165	4.12476
KLK7	4.92359	4.98599	4.90712	4.82713	5.03056	4.95331
CLTB	8.2719	8.2719	8.43095	9.53216	9.51093	9.48659
KRT23	4.07234	3.72298	4.07747	3.80531	3.84846	3.91079
PLXNC1	4.18866	4.18271	4.16488	4.17809	4.03413	4.27729
MYO6	8.47177	8.00425	8.1358	8.65681	8.03776	8.16114
GJA1	7.97042	7.8739	7.84125	9.41856	9.39741	9.28344
PRELP	4.57816	4.39933	4.26534	4.24863	4.45947	4.33638
PI3	4.29829	4.15971	4.27391	4.37822	4.38196	4.32509
LYPD3	6.56326	6.50802	6.29483	5.90955	6.33731	6.37312
JAG1	4.88403	5.19935	4.89232	5.32457	5.33836	5.4158
CA12	5.2145	5.08933	5.07033	5.29325	5.66335	5.46607
ETS2	9.54393	9.52291	9.66329	10.3247	10.3218	10.2949
ZNF750	3.31133	3.41434	3.15655	3.2162	3.54428	3.26493
EPHB6	5.85276	5.71393	5.93696	6.42231	6.27043	6.41814
CYP26B1	8.03964	8.01523	8.17938	8.49012	8.46206	8.51997
TYRP1	3.3743	3.39598	3.36029	3.41256	3.46335	3.48076
KCND3	5.00126	5.0136	4.90005	5.43527	5.16762	5.08808
ALDH3B2	3.66465	3.62725	3.73634	3.57061	3.67092	3.77077
EXPH5	3.59344	3.61865	3.53407	3.58289	3.83078	3.6471
MMP28	4.14648	4.24317	4.08867	4.29537	4.18017	4.27523
DSG3	4.42773	4.36504	4.29803	4.1705	4.42208	4.23708
COBL	3.69089	3.88591	3.86299	3.89081	3.97187	3.88077
CDS1	7.26694	7.05551	6.95542	7.43575	7.28937	7.2845
SPRR1A	4.29934	4.31793	3.98705	4.14809	4.18686	4.08808
ARAP2	4.39248	4.3919	4.492	4.319	4.39927	4.26458
FCGBP	7.22803	7.22241	7.66572	6.78851	6.48188	6.54577
F2RL1	9.45836	9.63747	9.47154	11.9382	11.8824	11.7154
CHN2	5.03669	4.96154	4.83074	4.96729	5.05592	5.13326
MPZL2	3.37383	3.28925	3.41815	3.37383	3.33609	3.51117
SFN	9.2385	9.20509	9.22782	9.23022	9.24888	9.26448
S100A14	5.15288	5.12644	5.21615	5.39279	5.26177	5.14065
FGFBP1	4.53306	4.38662	4.52886	4.31461	4.52201	4.32616
EPPK1	6.26725	6.15781	6.22216	5.61013	5.77589	5.69995
IMPA2	8.35382	8.28295	8.3701	8.38716	8.36212	8.36212
DUSP7	6.84777	6.98259	7.03624	7.50807	7.17252	7.38936
HCAR3	4.44184	4.46353	4.58307	4.29851	4.33944	4.36171
ZNF185	8.4382	8.37646	8.44422	7.91024	7.90828	8.01313
IRX4	4.59965	4.84268	4.84252	4.69597	4.82625	4.71399
DSC1	3.46251	3.50289	3.41258	3.69227	3.81204	3.59599
ELMO3	4.71395	4.51109	4.73292	4.71354	4.69896	4.81806
FHOD3	4.81082	4.42511	4.76439	7.0721	6.56359	6.70313
KRT6A	3.53809	3.51614	3.60218	3.65922	3.69801	3.5626
MAF	3.32819	3.27989	3.26925	3.11718	3.36689	3.41329
AQP3	5.42088	5.35999	5.34086	5.22152	5.73451	5.47606
EGFR	6.22884	5.90444	6.2613	6.09392	6.43221	6.35114
SSH3	7.65283	7.62019	7.48815	7.188	7.22603	7.30078
POU2F3	3.51013	3.43587	3.46257	3.59849	3.35417	3.56338
EPHX3	4.74001	4.41917	4.57537	4.50009	4.46611	4.57166
ANK3	3.76208	3.44954	3.77591	3.66352	3.79018	3.67734
ARHGAP32	8.083	8.21134	8.13909	8.67031	8.80413	8.89727
FST	6.66876	6.71628	6.6891	7.06369	7.40753	7.21513
NMU	4.95897	4.83841	4.80919	4.54235	4.74257	4.85708
ASS1	9.99928	10.0486	10.1113	9.46992	9.36292	9.36639
ABLIM1	10.4782	10.4602	10.696	10.6249	10.5306	10.6353
TUBA4A	7.15126	7.38465	7.25371	11.1418	11.1987	11.1736
PALMD	3.56686	3.6635	3.59577	3.69765	3.67403	3.82393
ENPP2	3.77059	3.73577	3.56612	3.59799	3.73405	3.74786
FLG	3.54786	3.33547	3.45494	3.38269	3.30175	3.35792
ABCA12	3.55521	3.68032	3.42479	3.59654	3.44064	3.52713
FXYD3	6.54293	6.49717	6.5046	6.31803	6.53018	6.56673
LGR5	4.27125	4.20128	4.26813	4.1895	3.94929	4.11055
KLF5	3.68087	3.96002	3.55727	3.65988	3.48258	3.5506
GPX2	5.40081	5.08933	5.13895	5.20595	5.22152	5.1746
FGFR3	7.44954	7.45691	7.6119	7.47299	7.1594	7.3839
TACSTD2	4.94657	4.91417	4.99796	5.23295	5.12846	5.18304
PRSS3	5.07218	4.88215	4.9067	4.95466	5.04855	4.75531
PPL	9.8248	9.85906	9.97813	7.84176	7.51195	7.68981
TRIM29	5.42656	5.42136	5.42507	5.30251	5.34262	5.40046
NEBL	11.0162	11.0209	11.1073	10.0772	9.97058	10.0328
ST14	5.55872	5.43441	5.52295	5.52472	5.6448	5.62924
CDHR1	4.23623	4.45898	4.25665	4.0765	4.16108	4.09504
FGFR2	5.99958	6.14355	6.22207	5.37041	5.4222	5.23026
LSR	8.18113	8.17465	8.39947	7.94383	7.86932	8.00298
PAK6	6.29323	6.19372	6.42231	5.71534	5.96187	5.74504
PDZK1IP1	4.06382	4.14254	3.94341	4.35408	4.13012	4.11208
GABRE	0	0	0	0	0	0
MST1R	6.54136	6.51124	6.58878	6.47689	6.50701	6.34394
BCL11B	3.92349	3.92682	3.96002	3.92682	3.9169	4.10615
CD24P2	0	0	0	0	0	0
CD24	9.56175	9.71214	9.63406	8.50277	8.4172	8.25622
DSC2	4.96982	5.00158	4.78378	5.12143	5.41146	5.44495
GATA3	6.35395	6.37958	6.41571	6.82149	6.4763	6.63827
DSP	10.0566	10.0465	10.3103	10.0026	9.7481	9.88334
KRT14	4.37241	4.14745	4.13302	4.16614	4.21737	4.20294
JUP	10.5567	10.511	10.7724	8.82251	8.68756	8.76024
TMEM45A	10.2001	10.269	10.2993	10.687	10.899	10.7449
CXADR	7.52965	7.48068	7.19559	7.34358	7.36727	7.1998
IRF6	4.05395	3.94583	3.82308	3.97199	4.16784	3.81804
KLK10	4.36745	4.44262	4.49921	4.42768	4.18822	4.4036
FAT2	4.83619	4.66177	4.70943	4.58317	4.79357	5.00836
HAL	3.84144	3.78785	3.81503	3.82992	3.93863	4.05467
CDH1	4.27451	4.14837	4.42808	3.98925	3.74402	4.01268
CRYBG1	0	0	0	0	0	0
RAB25	4.46666	4.09133	4.27439	4.09821	4.40482	4.09714
SERPINB13	3.3886	3.45829	3.54853	3.22522	3.31271	3.40057
KLK8	3.86165	3.87846	3.80762	4.00225	3.97797	3.7627
S100A2	6.89585	6.98744	6.86211	9.17548	9.01519	9.13561
INAVA	0	0	0	0	0	0
SCUBE2	5.92477	5.90701	6.07875	4.68834	4.742	4.38849
MT1M	3.60604	4.15047	3.89011	3.73577	3.72543	3.94871
PTPRZ1	3.27896	3.55436	3.50278	3.5594	3.58528	3.60205
CRYBG2	0	0	0	0	0	0
KRT31	4.20114	4.17947	3.96416	4.35107	4.06711	4.13365
MAPK13	5.77557	5.7109	5.53805	5.74465	5.82047	5.89378
BICD2	4.4547	4.29768	4.34802	4.47015	4.70496	4.52138
MCOLN3	5.72812	5.62422	5.45282	5.47537	5.9791	5.70035
CWH43	4.5516	4.49861	4.56668	4.63008	4.69658	4.47378
ABHD2	7.73259	7.50439	7.29323	7.84528	7.8047	7.9146
GNA15	4.75199	4.78496	4.58975	4.86667	4.98576	4.90163
IL1R2	3.80153	3.77941	3.71954	3.61966	3.80425	3.8744
TFAP2B	3.53171	3.65975	3.6073	3.72176	3.84653	3.72571
NFIB	9.19182	9.2423	9.29745	8.69726	8.63478	8.67398
DEFB1	4.25718	4.52539	4.25718	4.49167	4.33201	4.23607
WNT5A	6.1584	5.88499	5.89821	6.12465	5.98512	6.10348
KRT19	5.35193	5.6672	5.31909	4.23146	4.12809	4.1969
COL7A1	6.17494	6.17556	5.92825	8.57899	8.95178	8.90698
COL17A1	4.6569	4.6263	4.65337	4.65494	4.62825	4.70452
DGKA	5.93706	6.02054	6.07067	6.16049	6.23457	6.08226
AP1G2	7.45714	7.20971	7.27703	7.75623	7.6101	7.50386
CCL27	4.33072	4.12582	4.45898	4.31461	4.36494	4.48183
KRT1	4.34548	4.26318	4.14977	4.26933	4.29001	4.15804
AOPEP	0	0	0	0	0	0
CALML5	4.15968	4.18787	4.28532	4.09944	4.44075	4.33731
COL4A6	3.632	3.75429	3.71537	3.46288	3.61172	3.62976
PRDX2	5.42471	5.22696	5.205	4.94817	4.72654	4.70227
TFAP2C	9.60625	9.57633	9.62024	8.15229	7.86984	7.98348
CA2	7.83302	7.88277	7.83834	8.02538	8.07084	8.08358
BBOX1	3.64914	3.58863	3.45542	3.50351	3.5649	3.86
CKMT1B	0	0	0	0	0	0
CTNNBIP1	8.71151	8.72344	8.7575	8.14626	8.1576	8.17806
NAP1L2	6.95525	6.87152	6.87152	6.46399	6.62404	6.5169
DST	3.70707	3.50336	3.53365	3.36112	3.47289	3.71302
PERP	3.56989	3.48615	3.56103	3.57653	3.65548	3.53962
PLPPR4	3.69832	3.59099	3.54941	3.56203	3.4547	3.60361
FZD10	3.60242	3.82834	3.50697	3.5707	3.57557	3.47071
ANXA8	0	0	0	0	0	0
AKR1B10	4.09753	4.04721	3.92654	3.99524	4.23885	4.20212
QPCT	9.39671	9.39305	9.38309	11.0088	10.6251	10.8114
GRHL2	3.91124	4.09454	4.09759	4.04068	4.08362	4.09595
STAP2	6.29447	6.42125	6.32411	6.47485	6.34256	6.2667
EVPL	6.07318	6.08666	6.34017	6.09961	5.99657	5.93535
VSNL1	4.95721	4.92983	4.92983	4.89439	4.93679	4.92287
MATN2	0	0	0	0	0	0
CTNND1	0	0	0	0	0	0
HLF	3.79812	3.65082	3.69912	3.79238	3.69242	3.80348
GPR87	3.51625	3.57815	3.28245	3.58822	3.68377	3.78014
ADCY2	4.79424	4.74457	4.74614	4.70536	4.78765	5.00302
PKP1	4.50632	4.60251	4.53563	4.44645	4.58585	4.29173
PRSS8	4.31972	4.221	4.39695	4.40253	4.27322	4.14856
KRT5	5.5806	5.57971	5.63349	5.33985	5.52682	5.60893
CD207	4.16451	4.19807	4.13642	4.21935	4.39685	4.07378
RAPGEFL1	6.51298	6.46136	6.3826	6.27286	6.40543	6.55339
LTB4R	5.31451	5.20131	5.20079	5.19602	5.20549	5.67885
KLRF1	6.04799	6.07724	6.08153	5.48161	5.29516	5.58834
CHP2	4.68712	4.6787	4.37189	4.52755	4.64822	4.80384
KRT16	3.74091	4.03661	4.12902	4.63705	4.63705	4.7468
SCGB2A2	3.52134	3.38697	3.44704	3.17665	3.45625	3.40034
NTRK2	5.10713	5.09888	5.13405	4.93239	5.20878	5.15903
SOX15	5.34928	5.32336	5.29019	5.15366	5.40368	5.4384
DNASE1L3	4.8367	4.77863	4.84482	4.80471	4.87882	4.92759
KRT15	5.23602	5.20716	5.21523	4.52761	4.31451	4.40392
ZBED2	3.61572	3.86362	3.52908	3.703	3.60342	3.6942
MAL	5.34039	5.43537	5.48616	5.37016	5.3433	5.30166
TPD52L1	6.802	6.49053	6.53981	5.4071	5.9921	6.28759
PTCH1	3.97173	4.04078	3.68122	3.8333	3.98748	3.81039
CST6	4.63506	4.63256	4.65967	4.77954	4.87354	4.9023
FCER1A	3.73577	3.61283	3.7146	3.5689	3.91744	3.69145
PYCARD	9.88297	9.98448	9.9728	9.52275	9.38232	9.5805
BMP7	8.86301	8.78801	8.89803	7.95081	7.67251	7.85094
SPINK5	4.4212	4.13772	4.10408	4.06063	4.15772	4.26653
DIO2	4.45898	4.46926	4.37824	4.23551	4.69227	4.34755
PER2	8.82244	8.82254	8.70839	8.0697	8.09433	8.16111
TM4SF1	13.3369	13.3349	13.3427	13.1549	13.1255	13.1127
BTG1	3.92349	3.86167	3.8537	3.80164	3.82951	3.79484
SPINT2	12.5783	12.5843	12.6469	12.0599	12.2115	12.1794
CPA3	4.00323	3.93053	4.11738	3.94687	4.03333	4.05742
CFH	4.43096	4.22771	4.3323	4.17152	4.21105	4.09002
ITPR3	4.59965	4.54951	4.78243	5.04618	4.76669	4.90275
KIT	4.4988	4.44129	4.56699	4.54876	4.45898	4.44797
TXNIP	9.42424	9.50428	9.09504	5.60753	5.59278	5.64763
CLIC3	7.36177	7.38555	7.45367	7.84216	7.69798	8.01028
S100A8	3.56589	3.67888	3.82305	3.41062	3.84846	3.61754
SERPINB4	4.34257	4.33111	4.35654	4.25328	4.33507	4.68286
LGALS7	0	0	0	0	0	0
SOWAHC	9.80259	9.79552	9.76378	10.1764	10.0489	10.0636
ECHDC2	9.71785	9.66696	9.75691	9.01937	8.97158	9.06163
LTF	4.9005	4.98908	4.85134	4.8073	5.22628	5.03175
CDH3	6.54485	6.63495	6.71648	6.17971	5.9939	6.24287
ESRP2	0	0	0	0	0	0
LY6D	4.7686	4.5588	4.49857	4.4986	4.66336	4.81523
GJB3	6.07813	6.22763	6.18282	6.31868	6.26116	6.17067
CTSG	4.76877	4.54498	4.49157	4.5822	4.7615	4.60137
SCEL	3.18684	3.16644	3.11968	3.22472	3.21849	3.19808
TP53AIP1	3.75786	3.70707	3.9009	3.82772	3.85366	3.52983
CSTA	4.27035	4.13282	4.1024	4.97303	4.62842	4.81323
LAMA3	3.7897	3.96002	3.73926	3.85554	3.77445	3.90942
LAMC2	5.85325	5.7763	6.02469	7.49049	7.37464	7.44327
C1orf116	3.7938	3.76474	3.59492	3.61283	3.68238	3.70458
HPSE	5.84514	5.66246	5.81212	6.28765	6.23055	6.21677
CTNNB1	5.51967	5.80665	5.70265	5.5937	5.55605	5.45087
EGFR	6.22884	5.90444	6.2613	6.09392	6.43221	6.35114
ERBB2	4.73227	4.46897	4.5813	4.45898	4.65136	4.58908
BRMS1	9.36257	9.37056	9.33492	9.46196	9.46882	9.44541
HIF1A	12.425	12.4271	12.3723	12.3723	12.2973	12.3368
BIRC5	6.91599	7.00318	6.74026	7.22668	6.91191	6.92794
ITGB1	12.2077	12.2211	12.2205	12.7092	12.6809	12.6121
CD82	7.4303	7.29038	7.16384	7.31913	7.49359	7.45299
KRAS	4.22173	4.33997	4.0901	4.32806	4.41093	4.42054
MET	10.2693	10.3031	10.3705	10.9063	10.4503	10.5943
MMP2	3.77274	3.68142	3.58009	3.64065	3.86311	3.80425
MMP9	5.54537	5.81721	5.80188	5.64967	5.70174	5.77487
NME1	12.798	12.8358	12.7864	13.4197	13.4003	13.4201
PEBP1	10.6568	10.7302	10.826	10.3101	10.4	10.3634
TMEM140	5.79795	6.00669	6.08937	5.51436	5.68136	5.66311
PTEN	9.47257	9.55376	9.49479	10.0273	9.79049	9.89731
PTGS2	3.61736	3.39658	3.56424	3.73577	3.90429	3.62256
S100A4	11.6559	11.7283	11.794	12.0594	12.0524	12.1804
CXCL12	5.1188	5.00801	4.93048	5.16373	5.12857	5.2303
SPP1	3.36125	3.34622	3.25692	3.29178	3.43119	3.5802
BRAF	8.56765	8.66544	8.54167	8.08696	8.24235	8.2661
STAT3	11.7089	11.6876	11.7731	11.1999	10.9992	11.0148
TGFB1	4.1829	4.10875	4.24578	4.31696	4.37877	4.45898
TP53	9.36891	9.27593	9.32634	9.34175	9.2995	9.3613
TWIST1	3.42768	3.42279	3.69122	3.42585	3.67503	3.37363
VEGFA	10.5971	10.6506	10.5403	10.9799	10.851	10.9201
VEGFC	8.47101	8.3174	8.48727	9.58249	9.38522	9.4361
EZR	9.17723	9.42783	9.04295	9.36516	9.43929	9.25241
CXCR4	5.47589	5.33228	5.15097	5.32297	5.49137	5.42286
CD44	10.922	10.964	10.8329	11.2936	11.3696	11.2937
CDH1	4.27451	4.14837	4.42808	3.98925	3.74402	4.01268
AFDN	5.00783	4.86769	5.13592	5.46121	5.43916	5.51298
PTPRM	5.77345	5.79972	5.95516	6.06495	5.93151	6.07405
RAC1	4.59211	4.6184	4.64207	4.57423	4.39882	4.56293
CTNNA1	9.54195	9.74563	9.53629	9.84596	9.74634	9.63965
ITGAV	12.1635	12.1505	12.307	12.885	12.8016	12.9174
CLDN1	8.51538	8.77102	8.53909	9.52163	9.45579	9.45396
TLN1	7.53559	7.04748	8.08519	8.25559	7.73979	7.98882
RAP1A	5.22684	5.2536	5.24166	5.11332	5.35389	5.38565
RAP1B	12.1681	12.24	12.219	12.429	12.4003	12.3573
RAPGEF1	5.23601	5.56014	5.45117	5.60656	5.72054	5.96667
PDGFB	7.98001	7.99846	8.07648	8.33353	8.28004	8.37104
NECTIN1	4.7648	4.43133	4.48455	4.58702	4.71231	4.65748
F11R	8.46996	8.42611	8.34001	8.86667	8.80036	8.68344
PIP5K1C	7.64849	7.60197	7.82972	7.78301	7.52681	7.62636
VAV2	6.56405	6.68351	6.8266	6.93985	6.87535	6.8088
PVR	7.1915	7.33317	7.28368	7.69197	7.76918	7.86558
CDH1	4.27451	4.14837	4.42808	3.98925	3.74402	4.01268
PTK2	4.15876	4.20445	4.09471	4.22681	4.12773	4.20389
CTNNB1	5.51967	5.80665	5.70265	5.5937	5.55605	5.45087
PDGFRB	4.03569	4.39081	4.18324	4.31461	4.46745	4.24307
ITGB3	4.74245	4.95825	4.71079	6.39085	6.39204	6.06517
FARP2	3.80949	3.6286	3.75244	3.94047	3.90595	3.93428
NECTIN2	8.11081	8.19213	8.22558	8.07258	8.115	8.21419
NECTIN3	5.92514	5.76277	5.80827	6.60688	6.26891	6.28979
PIK3R1	7.11425	6.96996	7.32707	6.5274	6.42231	6.36388
SRC	3.69155	3.60453	3.77271	3.73577	4.08367	3.81786
CDC42	12.4477	12.334	11.9857	12.6528	12.5947	12.413
PIK3CA	8.99694	9.04581	8.97821	8.85996	8.76073	8.84
CRK	10.3633	10.3951	10.4626	10.4654	10.3956	10.3779
IQGAP1	11.6873	11.6278	11.8052	11.5152	11.3317	11.3868
LAMA5	9.32834	9.24249	9.75837	8.6811	8.36201	8.58893
RXRA	5.85019	5.37105	5.86837	5.70957	5.88988	5.92364
ERBB2	4.73227	4.46897	4.5813	4.45898	4.65136	4.58908
ERBB3	4.22949	4.24527	4.16263	4.25595	4.16214	4.2192
YWHAZ	12.4827	12.5125	12.4201	12.4928	12.5928	12.542
CDH1	4.27451	4.14837	4.42808	3.98925	3.74402	4.01268
PRKCA	5.54219	5.48044	5.37704	5.66067	5.86849	5.83342
MET	10.2693	10.3031	10.3705	10.9063	10.4503	10.5943
LAMA2	4.44341	4.41616	4.40134	4.50264	4.58221	4.44769
LAMB1	8.79447	8.79462	9.21284	8.84958	8.15664	8.24721
LAMB3	4.33123	4.61784	4.4134	5.02153	4.97481	4.72307
YWHAB	12.0094	12.0522	12.0437	12.2632	12.1287	12.0927
CD9	12.0958	12.1607	12.1788	11.9695	12.1815	12.127
LAMA3	3.7897	3.96002	3.73926	3.85554	3.77445	3.90942
HRAS	9.61824	9.5928	9.71639	9.89827	9.8272	9.89076
GRB2	9.03581	9.00054	8.86406	9.50718	9.35541	9.3807
COL17A1	4.6569	4.6263	4.65337	4.65494	4.62825	4.70452
EGFR	6.22884	5.90444	6.2613	6.09392	6.43221	6.35114
PMP22	3.4065	3.47289	3.46194	3.58399	3.55297	3.4268
YWHAG	12.2211	12.2307	12.1433	12.4284	12.4536	12.4623
LAMC2	5.85325	5.7763	6.02469	7.49049	7.37464	7.44327
SHC1	10.0429	9.97024	10.3499	10.8296	10.7306	10.6629
YWHAQ	13.1623	13.1837	13.2101	13.1988	13.2587	13.2239
RXRB	8.52619	8.45989	8.46756	8.23896	8.37155	8.33649
PIK3CA	8.99694	9.04581	8.97821	8.85996	8.76073	8.84
YWHAH	9.57853	9.4732	9.65444	10.0173	10.214	10.1212
LAMA4	4.08645	3.8649	3.77527	4.02686	4.12243	4.14473
LAMB2	8.27807	8.18199	8.55168	8.10286	7.7695	7.93192
ITGB1	12.2077	12.2211	12.2205	12.7092	12.6809	12.6121
IL1A	4.23583	4.04801	4.10757	4.39248	3.89317	3.87763
LAMC1	8.76023	8.75726	8.95583	9.25987	9.03094	9.07139
EGF	3.63223	3.50729	3.4617	3.44253	3.73078	3.61589
AKT1	9.55093	9.50852	9.81544	9.57137	9.45232	9.60833
MST1R	6.54136	6.51124	6.58878	6.47689	6.50701	6.34394
CASP7	9.15072	9.27418	9.30593	9.19516	8.87539	8.86041
RPS6KB1	7.89125	7.9068	7.77479	7.94443	7.52542	7.51693
ITGB4	5.4749	5.00296	5.83604	5.05724	5.02496	5.14923
PIK3R1	7.11425	6.96996	7.32707	6.5274	6.42231	6.36388
RXRG	4.09428	4.25583	4.27707	4.07929	4.16614	3.9514
YWHAE	9.75507	9.67508	9.75061	10.0476	10.3899	10.1055
ITGA6	9.76363	9.71009	9.91506	9.60625	9.56968	9.62969
RAC1	4.59211	4.6184	4.64207	4.57423	4.39882	4.56293
LAMA1	4.15324	4.10066	4.32047	4.16814	4.15324	4.05512
SFN	9.2385	9.20509	9.22782	9.23022	9.24888	9.26448
LAMC3	7.14974	6.96698	7.36123	7.69014	7.60932	7.82825
MST1	7.69086	7.48082	7.40111	6.95501	7.31193	7.26446
TICAM1	6.4358	6.13362	6.3574	6.74229	6.48355	6.80651
TPBG	10.6663	10.6851	10.7001	10.9562	10.9209	10.9221
DDB2	7.8663	7.956	7.95702	9.16667	9.15343	9.24363
SH3GL1	8.5323	8.57794	8.43334	8.74953	8.73353	8.81362
CKB	10.5688	10.606	10.6875	10.3233	10.2117	10.3381
IMPA2	8.35382	8.28295	8.3701	8.38716	8.36212	8.36212
ITGB4	5.4749	5.00296	5.83604	5.05724	5.02496	5.14923
NOP16	9.06652	9.25292	9.25511	10.1518	10.0467	10.0391
MRPS12	8.25456	8.38766	8.23966	8.88085	8.92929	8.99365
AFG3L2	11.3074	11.3372	11.2709	11.3529	11.0536	11.1255
IGSF3	5.59203	5.68179	5.66792	5.587	5.61269	5.67467
FLNB	9.08217	9.0604	9.40522	9.5746	9.3581	9.40836
CELSR1	4.07792	4.11812	4.09833	3.93918	4.1648	4.33532
LAD1	5.60901	5.6247	5.76378	5.41975	5.59775	5.5584
C11orf80	5.54749	5.62823	5.46516	5.61561	5.55368	5.55179
TP63	3.72506	3.72094	3.60025	3.48646	3.59937	3.62493
ST6GALNAC2	7.89277	7.86977	8.10819	7.44236	7.32889	7.28775
SERPINB5	3.28682	3.44385	3.44443	3.39479	3.73672	3.40536
NCK1	9.42194	9.42524	9.30861	9.51327	9.46228	9.46413
ALDOA	13.2201	13.2269	13.2537	13.4212	13.3466	13.3669
ATP5F1D	0	0	0	0	0	0
TMEM183A	0	0	0	0	0	0
TRIM29	5.42656	5.42136	5.42507	5.30251	5.34262	5.40046
PPP4C	11.0323	10.9787	10.9442	11.0885	11.2359	11.2073
ACTA1	4.12387	4.14936	4.42734	4.57834	4.2907	4.26288
JUP	10.5567	10.511	10.7724	8.82251	8.68756	8.76024
DUSP7	6.84777	6.98259	7.03624	7.50807	7.17252	7.38936
UBE3C	3.33883	3.43574	3.29216	3.59736	3.39966	3.31837
CUL1	9.76497	9.77904	9.70203	9.88408	9.88639	9.86251
PFKP	11.5807	11.4913	11.6092	12.018	11.8734	11.9548
DTX2	0	0	0	0	0	0
BMP1	5.29391	5.1628	5.10724	5.28923	5.13014	4.87287
TUBA4A	7.15126	7.38465	7.25371	11.1418	11.1987	11.1736
NOP2	8.37106	8.43638	8.49219	8.95027	8.90626	8.92871
MBD2	10.0389	10.039	10.0052	10.3001	10.2621	10.2459
KLF5	3.68087	3.96002	3.55727	3.65988	3.48258	3.5506
EIF3K	14.1643	14.1905	14.1859	14.1995	14.1899	14.1784
SDC4	9.13774	9.17061	9.16454	9.16186	9.18011	9.19588
VDAC3	5.57546	5.95867	5.60264	5.44297	5.65582	5.67319
MALL	10.129	10.1984	10.2514	10.7555	10.7444	10.757
EPAS1	9.09606	9.12594	9.3055	11.6313	11.4307	11.575
PHLDA2	4.11637	4.22606	4.03943	4.49918	4.38664	4.345
ITGA3	7.98114	7.71691	8.27776	9.14941	8.93305	9.11243
S100A11	11.2009	11.2874	11.2674	12.3393	12.3007	12.3331
KLK10	4.36745	4.44262	4.49921	4.42768	4.18822	4.4036
PSMD8	12.0314	12.1337	12.1175	12.2403	12.2984	12.2724
MAST4	4.89553	4.81575	4.73574	4.73991	4.85977	4.75951
CAV2	11.0614	11.1443	11.1499	11.0964	10.8449	10.9193
SMTN	5.75422	5.60849	5.5435	5.65177	5.69821	5.74877
TNFRSF10B	3.81901	3.80691	3.86311	3.76887	3.73363	3.99859
COL17A1	4.6569	4.6263	4.65337	4.65494	4.62825	4.70452
PKP1	4.50632	4.60251	4.53563	4.44645	4.58585	4.29173
ATP5F1A	0	0	0	0	0	0
TNNT3	6.50199	6.66792	6.64721	6.61175	6.72447	6.61977
PRODH	0	0	0	0	0	0
PA2G4	9.82085	9.77924	9.82411	10.3414	10.3761	10.2879
TTLL12	8.55811	8.43237	8.63276	9.05358	9.0697	9.07793
GSTP1	11.4199	11.5031	11.5487	11.5646	11.5543	11.6338
TRIM16	9.09246	9.31043	9.3687	9.6584	9.7407	9.67066
SVIL	3.82726	4.02783	4.14421	3.78723	4.01582	3.93519
ADIRF	4.36156	4.44313	4.48048	4.57428	4.39685	4.60923
FLAD1	8.68264	8.75379	8.80002	9.07209	9.05198	9.06119
FXYD3	6.54293	6.49717	6.5046	6.31803	6.53018	6.56673
PLEC	7.95705	7.79471	8.11831	7.79063	7.55507	7.83043
CAV1	12.3166	12.311	12.1248	12.4196	12.6242	12.5287
MINK1	6.56105	6.69409	6.65993	6.79739	6.79146	6.77872
ALDH4A1	8.02279	7.94672	8.30739	7.6713	7.45422	7.52211
CEBPZ	10.1257	10.0911	10.0459	10.1485	10.0255	10.0787
HSPA2	7.35258	7.26495	7.50204	6.96888	6.63373	6.75398
RAB31	10.8175	10.8782	11.0173	12.0567	11.9002	11.9746
UBE2M	10.8681	10.9045	10.9975	11.3603	11.225	11.3664
SLC20A2	5.49322	5.54773	5.69127	5.7426	5.58195	5.59476
GJB3	6.07813	6.22763	6.18282	6.31868	6.26116	6.17067
BAIAP2	6.99977	6.84943	6.97252	6.78292	7.07266	7.10068
LMNA	9.8245	9.93034	10.0443	9.86357	9.61541	9.66269
PRSS3	5.07218	4.88215	4.9067	4.95466	5.04855	4.75531
VSNL1	4.95721	4.92983	4.92983	4.89439	4.93679	4.92287
ITGB5	8.19586	8.06043	8.23779	7.91123	7.74938	7.83921
ITGAV	12.1635	12.1505	12.307	12.885	12.8016	12.9174
