id	Bxpc31_count	Bxpc32_count	Bxpc33_count	M81_count	M82_count	M83_count
IQGAP1	8801	11379	11539	9773	9408	8173
LAMA5	27848	35643	31066	27965	27694	30582
RXRA	4692	5971	5223	4534	4560	5043
ERBB2	1899	2482	2030	1463	1332	1532
ERBB3	1800	2114	1794	1235	1135	1299
YWHAZ	21930	21081	23303	25548	20736	21083
CDH1	11283	12341	11249	10034	9292	10117
PRKCA	881	1016	919	1129	1127	1286
MET	10855	11002	11102	9881	9091	10433
LAMA2	52	74	76	55	53	50
LAMB1	8276	9472	8487	10051	9456	10851
LAMB3	7743	10306	8770	8508	8579	10151
YWHAB	2941	8851	6992	5190	3223	4128
CD9	7286	7526	7347	4277	4054	4634
LAMA3	8932	9738	8911	12137	11550	12857
HRAS	551	700	531	399	389	398
GRB2	1883	2719	2244	1799	1891	2291
COL17A1	34392	41604	36327	38107	36263	41411
EGFR	14385	14979	14495	11782	10800	12615
PMP22	14	9	6	37	26	29
YWHAG	10010	11171	9977	8388	7829	8756
LAMC2	23015	25718	22277	27895	25761	28106
SHC1	5731	6844	5946	7073	6895	7816
YWHAQ	3019	3402	2936	3287	3155	3330
RXRB	0	0	0	0	0	0
PIK3CA	421	426	629	474	517	544
YWHAH	1950	2146	1902	2042	1864	2015
LAMA4	0	2	0	2	0	6
LAMB2	0	1	0	0	0	0
ITGB1	14728	15369	17755	24869	19580	22615
IL1A	3068	3233	3095	4808	4335	5045
LAMC1	8573	9612	8233	9042	8149	9429
EGF	16	20	13	15	4	8
AKT1	0	0	0	0	0	0
MST1R	2677	3902	3121	3349	2953	3715
CASP7	1204	1344	1172	1245	1136	1358
RPS6KB1	702	711	741	802	780	962
ITGB4	10655	13452	10985	17603	16989	18818
PIK3R1	183	255	288	217	267	392
RXRG	0	0	0	0	0	0
YWHAE	234	191	202	239	195	203
ITGA6	10262	9929	9824	9991	8996	10514
RAC1	7318	7743	7918	5494	5924	6566
LAMA1	0	0	0	0	0	0
SFN	19396	25156	21730	23957	24232	26547
LAMC3	0	0	0	0	0	0
MST1	60	87	73	71	71	66
TICAM1	342	516	429	471	428	439
TPBG	40	52	38	43	47	37
DDB2	1029	1220	1012	1013	853	953
SH3GL1	1926	2740	2009	2088	2138	2249
CKB	467	642	436	360	379	438
IMPA2	247	278	170	153	133	214
ITGB4	10655	13452	10985	17603	16989	18818
NOP16	887	1215	981	1394	1360	1467
MRPS12	24	34	33	19	28	24
AFG3L2	2337	2630	2258	2870	2598	2904
IGSF3	2037	2247	2026	2320	2223	2637
FLNB	24102	30587	23798	33227	31537	35965
CELSR1	6619	6362	6829	4538	4364	6025
LAD1	3865	4979	3659	4435	3783	4381
C11orf80	248	306	283	187	167	183
TP63	2682	5694	2658	2854	2611	3029
ST6GALNAC2	940	1028	995	527	493	558
SERPINB5	2086	4382	4172	4582	4372	4918
NCK1	580	585	592	580	608	649
ALDOA	17027	19367	17348	20283	18941	22355
TMEM183A	984	1121	1012	1021	1045	1148
TRIM29	7642	9602	8516	3888	3786	4267
PPP4C	2467	3109	2673	2421	2372	2721
ACTA1	0	2	0	0	3	1
JUP	12650	13903	13274	11206	10733	11528
DUSP7	2522	3161	2800	3203	3161	3486
UBE3C	4136	4559	4234	4356	3814	4203
CUL1	3149	2643	3113	2703	1951	2250
PFKP	5463	7203	6256	7323	6836	7939
DTX2	1141	1512	1220	755	815	918
BMP1	2587	3381	2860	2881	3376	3170
TUBA4A	4085	3067	2908	4892	4744	3480
NOP2	1545	1747	1453	1477	1946	1658
MBD2	1839	1805	1792	1989	1931	2289
KLF5	6884	7303	7385	5866	5249	6272
EIF3K	109	157	115	87	80	102
SDC4	8369	9407	8437	7096	6188	7319
VDAC3	2503	2801	2510	2709	2537	2883
MALL	791	1007	801	723	706	781
EPAS1	2685	3106	2818	3500	3280	4612
PHLDA2	8	9	8	6	8	4
ITGA3	16957	21329	18654	20655	20203	22786
S100A11	11752	16663	14900	13869	14080	13526
KLK10	460	748	747	163	132	167
PSMD8	4632	5681	4531	3599	3504	3734
MAST4	1044	1197	1154	992	847	1053
CAV2	6544	6889	6902	4892	4419	5326
SMTN	1571	1832	1634	1887	2077	2322
TNFRSF10B	3123	3871	3390	4499	4348	4841
COL17A1	34392	41604	36327	38107	36263	41411
PKP1	5199	6257	5046	4498	4414	4875
TNNT3	20	22	31	5	7	11
PRODH	37	26	14	6	10	9
PA2G4	6593	9314	8233	8746	8530	7711
TTLL12	2302	3010	2446	2657	2711	3637
GSTP1	19684	24094	20502	14450	12611	15545
TRIM16	583	1277	548	727	1632	486
SVIL	1230	1404	1180	1312	1328	1445
ADIRF	564	827	1001	358	321	483
FLAD1	366	635	529	504	451	518
FXYD3	12406	14218	12341	6443	5773	6516
PLEC	34108	44953	38250	35569	33848	38621
CAV1	23711	24898	24154	18942	18218	20155
MINK1	2678	3317	2823	3371	3251	3600
ALDH4A1	658	472	384	762	715	473
CEBPZ	683	697	972	959	917	1162
HSPA2	79	116	89	72	56	62
RAB31	427	368	260	624	1339	344
UBE2M	1779	2298	1968	1604	1716	1927
SLC20A2	1044	1413	1143	1773	1598	1750
GJB3	2058	2561	2327	2285	2284	2505
BAIAP2	1462	1611	1383	1114	1092	1286
LMNA	9269	11034	8840	8015	8536	8561
PRSS3	525	647	623	655	656	787
VSNL1	2	9	6	6	3	8
ITGB5	1970	2378	1875	1608	1664	1862
ITGAV	3649	3673	4403	4900	4255	5373
TGFBR1	701	849	880	683	613	358
MADCAM1	0	1	0	4	2	2
ITGA4	0	0	0	0	0	0
ITGB7	69	88	76	64	62	85
PLAU	4752	5565	4908	5415	5206	5880
SDC1	6655	5957	5167	5320	4064	2580
ITGB6	1054	999	1120	1165	1001	1236
FN1	2660	3081	2407	3582	3392	3997
VCAM1	7	12	6	0	2	0
VTN	0	0	0	0	0	0
EDIL3	7	3	10	60	47	58
FBN1	246	273	239	324	323	366
PLAUR	1109	1244	940	1342	1423	1672
ITGB8	404	374	511	385	344	452
TP63	2682	5694	2658	2854	2611	3029
WWP1	970	966	1061	1275	1177	1236
GPX2	1047	1496	1280	1021	842	924
CEBPD	848	1123	958	898	912	1202
POU2F2	579	736	623	728	797	963
STXBP4	87	103	105	147	161	180
ATM	737	742	924	1109	987	1190
FOSL2	3142	3749	3274	3995	3959	4194
RRAD	7	7	9	7	12	9
VDR	992	1209	1023	1131	1147	1244
GSK3B	2092	2268	2133	2080	1757	2137
PPP2R5A	573	651	649	581	580	571
MDM2	881	781	906	1040	959	1158
RACK1	10505	12319	10592	11123	11077	12484
NRG1	444	456	404	861	845	878
PERP	15484	15959	14968	15572	13850	15391
CDKN2A	0	0	0	0	0	0
SEC14L2	388	416	374	522	513	695
IGFBP3	6	6	6	3	0	3
CCNB2	2909	3155	2895	2248	2186	2450
TCF7L1	272	372	271	414	396	464
MRE11	1341	1334	1494	1543	1408	1536
ITGA3	16957	21329	18654	20655	20203	22786
ITCH	2640	2825	2560	2655	2337	3928
HES1	1401	1580	1473	1287	1215	1350
BDKRB2	91	269	253	171	169	166
FASN	7693	9689	8186	6321	6012	6828
YAP1	5154	5317	5246	5527	3376	5732
SFN	19396	25156	21730	23957	24232	26547
ADRM1	4053	5296	4395	4752	4675	4786
DLX6	0	0	0	0	0	0
TOP2A	9582	9731	12010	11731	10504	13157
HELLS	513	521	784	662	770	616
BRCA2	304	346	404	478	416	440
RUNX1	1292	1271	1264	1287	1181	1340
KRT14	108	152	136	208	170	187
AXL	4191	4671	4006	4032	4156	4308
NOTCH1	2855	3783	3143	2821	2757	2957
IL1A	3068	3233	3095	4808	4335	5045
KRT5	44890	53957	43305	43418	47138	50946
DLX5	0	0	0	0	2	0
COL5A1	590	718	637	1653	1610	1861
FBXW7	285	334	327	443	394	492
ADA	391	437	396	406	371	478
RAB38	793	884	814	1250	777	775
HBP1	1318	1379	1311	953	898	1013
ITGA3	16957	21329	18654	20655	20203	22786
LAMC3	0	0	0	0	0	0
LAMA3	8932	9738	8911	12137	11550	12857
LAMC2	23015	25718	22277	27895	25761	28106
COL4A4	0	3	2	10	11	16
NID2	2340	2630	2158	1918	1799	2192
LAMB1	8276	9472	8487	10051	9456	10851
ITGA6	10262	9929	9824	9991	8996	10514
LAMA1	0	0	0	0	0	0
LAMA4	0	2	0	2	0	6
COL7A1	14634	18131	16145	14015	13807	15351
NID1	81	82	86	342	417	492
LAMA5	27848	35643	31066	27965	27694	30582
ITGB4	10655	13452	10985	17603	16989	18818
COL4A2	0	1	0	0	0	6
ITGA7	29	35	20	26	14	22
LAMC1	8573	9612	8233	9042	8149	9429
ITGAV	3649	3673	4403	4900	4255	5373
HSPG2	14836	19089	16014	16695	15775	18418
ITGB1	14728	15369	17755	24869	19580	22615
ITGA2	5097	5214	3137	7650	7126	8241
COL4A3	0	0	0	0	1	2
LAMB2	0	1	0	0	0	0
COL18A1	49	91	74	102	100	133
COL4A1	3	0	0	1	5	7
COL4A5	5896	6342	6066	9113	8547	9972
LAMA2	52	74	76	55	53	50
LAMB3	7743	10306	8770	8508	8579	10151
COL4A6	8419	9696	8486	13390	12752	14213
ITGA1	449	428	526	656	558	698
FOXM1	3108	3410	3053	2737	2757	3115
GAS1	49	44	40	65	57	78
CENPF	2437	2955	4073	2964	2925	3922
SP1	4145	4420	4942	3614	3336	3717
PLK1	2658	3211	2589	2382	2327	2484
MYC	89	1387	94	1281	97	99
NFATC3	1047	1079	979	899	855	1007
BRCA2	304	346	404	478	416	440
CDK1	2205	2149	2516	2459	2258	2631
CCNE1	251	349	306	332	319	356
EP300	1425	1616	1523	2187	1993	2252
CCND1	3653	4395	3753	4711	4779	4962
LAMA4	0	2	0	2	0	6
CENPA	311	338	300	285	264	316
CREBBP	3061	3611	2389	3294	2914	3667
CCNB2	2909	3155	2895	2248	2186	2450
SKP2	1160	1252	1168	1308	1227	1404
CDKN2A	0	0	0	0	0	0
BIRC5	1012	1134	1112	943	823	1045
XRCC1	1327	1549	1405	1092	1120	1125
CDC25B	3534	4445	5049	6362	9537	6947
CKS1B	2031	2443	2081	2162	1996	2266
AURKB	860	1059	944	913	1021	1089
HIST1H2BA	0	0	0	0	0	0
CCNA2	2818	2905	2839	2713	2590	2858
CENPB	3747	4840	3979	4746	4872	5339
CDK4	2553	4124	2447	3542	2993	3701
MMP2	0	3	1	1	1	3
FOS	162	154	101	168	135	364
RB1	1130	1091	1330	1528	1355	1581
CHEK2	575	617	591	481	475	562
CCNB1	4999	5652	5226	4708	4489	4881
ESR1	24	31	20	29	40	54
MAP2K1	2559	2877	2593	2077	2349	2456
ONECUT1	0	0	0	0	1	0
NEK2	941	948	971	891	761	949
CDK2	1008	1373	1699	1066	1086	1324
GSK3A	2035	2399	1996	1828	1631	1736
ETV5	166	208	161	256	236	305
TGFA	1377	1388	1349	1911	1800	2083
CTNNB1	6684	7016	6468	7161	7145	7438
CDH1	11283	12341	11249	10034	9292	10117
AQP5	1	1	6	2	5	2
EGF	16	20	13	15	4	8
ENAH	1417	1520	1681	2013	1852	2209
AFDN	1838	2171	2167	2610	2351	2572
CTNNA1	8260	9225	8550	10338	9439	11103
VCL	8503	9526	8355	10476	9509	10287
DIAPH1	6122	5879	4848	6094	5249	6489
NCKAP1	3894	4123	4296	4143	3766	4428
VASP	2340	2985	2561	2135	2101	2114
NCK1	580	585	592	580	608	649
EXOC3	1247	1615	1399	1342	1271	1799
ZYX	2400	3030	2525	3286	3146	2648
PLEKHA7	421	495	485	253	218	231
IGF1R	2387	2896	2324	2373	2312	2582
MET	10855	11002	11102	9881	9091	10433
STX4	906	1023	962	911	861	913
HGF	0	0	0	0	0	0
ROCK1	633	862	1191	1167	1115	1447
EXOC4	640	877	664	515	467	730
LIMA1	4737	3064	4963	7152	6388	5407
MGAT3	66	86	66	3	4	5
NECTIN2	4206	5031	3988	2857	2815	3219
RHOA	7459	7657	7442	7477	6996	7910
ABI1	1404	1440	1465	1168	1229	1359
CTNND1	8184	15654	15541	7331	8772	14744
PIP5K1C	860	1066	877	998	985	1047
CAMSAP3	411	546	452	455	436	433
MYL2	0	0	0	0	1	0
EGFR	14385	14979	14495	11782	10800	12615
ACTN1	6843	7561	6243	8817	8874	10710
KIFC3	1488	1800	1556	1961	1979	2094
CYFIP2	0	0	2	7	6	6
LPP	478	378	479	685	508	1303
MYO6	1735	1787	1770	1628	1662	2005
GIT1	1419	1475	1280	1628	1464	2032
EPHA2	6788	8551	7060	8981	8354	9656
EFNA1	694	669	559	614	640	705
ARF6	3153	3708	3563	3477	3150	3774
AQP3	41058	45314	38522	28707	26604	30580
